name	type	country	collector	extra_data
TES_25	Bond	Col	{"sen":"TFIT08261125_000_000","bvc":"TFIT08261125"}	{"memo":"TFIT08261125","isin":"COL17CT03557","emision":"11-26-2017","maduracion":"11-26-2025","periocidad":"Annual","cupon":"6.25","l_minimo":"500000000","moneda":"COP"}
TES_26	Bond	Col	{"sen":"TFIT15260826_000_000","bvc":"TFIT15260826"}	{"memo":"TFIT15260826","isin":"COL17CT02625","emision":"08-26-2011","maduracion":"08-26-2026","periocidad":"Annual","cupon":"7.5","l_minimo":"500000000","moneda":"COP"}
TES_27	Bond	Col	{"sen":"TFIT08031127_000_000","bvc":"TFIT08031127"}	{"memo":"TFIT08031127","isin":"COL17CT03672","emision":"11-03-2019","maduracion":"11-03-2027","periocidad":"Annual","cupon":"5.75","l_minimo":"500000000","moneda":"COP"}
TES_28	Bond	Col	{"sen":"TFIT16280428_000_000","bvc":"TFIT16280428"}	{"memo":"TFIT16280428","isin":"COL17CT02914","emision":"04-28-2012","maduracion":"04-28-2028","periocidad":"Annual","cupon":"6","l_minimo":"500000000","moneda":"COP"}
TES_30	Bond	Col	{"sen":"TFIT16180930_000_000","bvc":"TFIT16180930"}	{"memo":"TFIT16180930","isin":"COL17CT03342","emision":"09-18-2014","maduracion":"09-18-2030","periocidad":"Annual","cupon":"7.75","l_minimo":"500000000","moneda":"COP"}
TES_31	Bond	Col	{"sen":"TFIT10260331_000_000","bvc":"TFIT10260331"}	{"memo":"TFIT10260331","isin":"COL17CT03771","emision":"03-26-2021","maduracion":"03-26-2031","periocidad":"Annual","cupon":"7","l_minimo":"500000000","moneda":"COP"}
TES_32	Bond	Col	{"sen":"TFIT16300632_000_000","bvc":"TFIT16300632"}	{"memo":"TFIT10260331","isin":"COL17CT03771","emision":"03-26-2021","maduracion":"03-26-2031","periocidad":"Annual","cupon":"7","l_minimo":"500000000","moneda":"COP"}
TES_33	Bond	Col	{"sen":"TFIT11090233_000_000","bvc":"TFIT11090233"}	{"memo":"TFIT11090233","isin":"COL17CT03862","emision":"09-02-2022","maduracion":"09-02-2033","periocidad":"Annual","cupon":"13.25","l_minimo":"500000000","moneda":"COP"}
TES_34	Bond	Col	{"sen":"TFIT16181034_000_000","bvc":"TFIT16181034"}	{"memo":"TFIT16181034","isin":"COL17CT03615","emision":"10-18-2018","maduracion":"10-18-2034","periocidad":"Annual","cupon":"7.25","l_minimo":"500000000","moneda":"COP"}
TES_36	Bond	Col	{"sen":"TFIT16090736_000_000","bvc":"TFIT16090736"}	{"memo":"TFIT16090736","isin":"COL17CT03748","emision":"09-07-2020","maduracion":"09-07-2036","periocidad":"Annual","cupon":"6.25","l_minimo":"500000000","moneda":"COP"}
TES_42	Bond	Col	{"sen":"TFIT21280542_000_000","bvc":"TFIT21280542"}	{"memo":"TFIT21280542","isin":"COL17CT03813","emision":"05-28-2021","maduracion":"05-28-2042","periocidad":"Annual","cupon":"9.25","l_minimo":"500000000","moneda":"COP"}
TES_50	Bond	Col	{"sen":"TFIT31261050_000_000","bvc":"TFIT31261050"}	{"memo":"TFIT31261050","isin":"COL17CT03722","emision":"10-26-2019","maduracion":"10-26-2050","periocidad":"Annual","cupon":"7.25","l_minimo":"500000000","moneda":"COP"}
TESV_31	Bond	Col	{"sen":"TFVT10260331_000_000","bvc":"TFVT10260331"}	{"memo":"TFVT10260331","isin":"COL17CT03797","emision":"03-26-2021","maduracion":"03-26-2031","periocidad":"Annual","cupon":"7","l_minimo":"500000000","moneda":"COP"}
UVR_25	Bond	Col	{"sen":"TUVT11070525_000_000","bvc":"TUVT11070525"}	{"memo":"TUVT11070525","isin":"COL17CT03359","emision":"07-05-2014","maduracion":"07-05-2025","periocidad":"Annual","cupon":"3.5","l_minimo":"5000000000","moneda":"UVR"}
UVR_27	Bond	Col	{"sen":"TUVT11170327_000_000","bvc":"TUVT11170327"}	{"memo":"TUVT11170327","isin":"COL17CT03508","emision":"03-17-2016","maduracion":"03-17-2027","periocidad":"Annual","cupon":"3.3","l_minimo":"5000000000","moneda":"UVR"}
UVR_29	Bond	Col	{"sen":"TUVT10180429_000_000","bvc":"TUVT10180429"}	{"memo":"TUVT10180429","isin":"COL17CT03680","emision":"04-18-2019","maduracion":"04-18-2029","periocidad":"Annual","cupon":"2.25","l_minimo":"5000000000","moneda":"UVR"}
UVR_33	Bond	Col	{"sen":"TUVT20250333_000_000","bvc":"TUVT20250333"}	{"memo":"TUVT20250333","isin":"COL17CT02963","emision":"03-25-2013","maduracion":"03-25-2033","periocidad":"Annual","cupon":"3","l_minimo":"5000000000","moneda":"UVR"}
UVR_35	Bond	Col	{"sen":"TUVT20040435_000_000","bvc":"TUVT20040435"}	{"memo":"TUVT20040435","isin":"COL17CT03441","emision":"04-04-2015","maduracion":"04-04-2035","periocidad":"Annual","cupon":"4.75","l_minimo":"5000000000","moneda":"UVR"}
UVR_37	Bond	Col	{"sen":"TUVT18250237_000_000","bvc":"TUVT18250237"}	{"memo":"TUVT18250237","isin":"COL17CT03623","emision":"02-25-2019","maduracion":"02-25-2037","periocidad":"Annual","cupon":"3.75","l_minimo":"5000000000","moneda":"UVR"}
UVR_49	Bond	Col	{"sen":"TUVT32160649_000_000","bvc":"TUVT32160649"}	{"memo":"TUVT32160649","isin":"COL17CT03565","emision":"06-16-2017","maduracion":"06-16-2049","periocidad":"Annual","cupon":"3.75","l_minimo":"5000000000","moneda":"UVR"}
