fecha,precio_interno_carga,precio_almendra_sana,incentivo_calidad
2003-01-02,277000,,
2003-01-03,280875,,
2003-01-04,280875,,
2003-01-05,280875,,
2003-01-06,281500,,
2003-01-07,294875,,
2003-01-08,317375,,
2003-01-09,319125,,
2003-01-10,331375,,
2003-01-11,331375,,
2003-01-12,331375,,
2003-01-13,330875,,
2003-01-14,331750,,
2003-01-15,337625,,
2003-01-16,337500,,
2003-01-17,337750,,
2003-01-18,337750,,
2003-01-19,337750,,
2003-01-20,333625,,
2003-01-21,336000,,
2003-01-22,346625,,
2003-01-23,345875,,
2003-01-24,344000,,
2003-01-25,344000,,
2003-01-26,344000,,
2003-01-27,334250,,
2003-01-28,336125,,
2003-01-29,323750,,
2003-01-30,319750,,
2003-01-31,329500,,
2003-02-01,329500,,
2003-02-02,329500,,
2003-02-03,334125,,
2003-02-04,332500,,
2003-02-05,326375,,
2003-02-06,330000,,
2003-02-07,334625,,
2003-02-08,334625,,
2003-02-09,334625,,
2003-02-10,340125,,
2003-02-11,336625,,
2003-02-12,331500,,
2003-02-13,311500,,
2003-02-14,317500,,
2003-02-15,317500,,
2003-02-16,317500,,
2003-02-17,315375,,
2003-02-18,318750,,
2003-02-19,316000,,
2003-02-20,318000,,
2003-02-21,317875,,
2003-02-22,317875,,
2003-02-23,317875,,
2003-02-24,310875,,
2003-02-25,303000,,
2003-02-26,299250,,
2003-02-27,300375,,
2003-02-28,291750,,
2003-03-01,291750,,
2003-03-02,291750,,
2003-03-03,297500,,
2003-03-04,293250,,
2003-03-05,293250,,
2003-03-06,294250,,
2003-03-07,300125,,
2003-03-08,300125,,
2003-03-09,300125,,
2003-03-10,304375,,
2003-03-11,298875,,
2003-03-12,294500,,
2003-03-13,294500,,
2003-03-14,296750,,
2003-03-15,296750,,
2003-03-16,296750,,
2003-03-17,284000,,
2003-03-18,290000,,
2003-03-19,305875,,
2003-03-20,314125,,
2003-03-21,314750,,
2003-03-22,314750,,
2003-03-23,314750,,
2003-03-24,308375,,
2003-03-25,300000,,
2003-03-26,300000,,
2003-03-27,293375,,
2003-03-28,300000,,
2003-03-29,300000,,
2003-03-30,300000,,
2003-03-31,302750,,
2003-04-01,300500,,
2003-04-02,311250,,
2003-04-03,317625,,
2003-04-04,312125,,
2003-04-05,312125,,
2003-04-06,312125,,
2003-04-07,319750,,
2003-04-08,313375,,
2003-04-09,309750,,
2003-04-10,304750,,
2003-04-11,307750,,
2003-04-12,307750,,
2003-04-13,307750,,
2003-04-14,295250,,
2003-04-15,302125,,
2003-04-16,304750,,
2003-04-17,315250,,
2003-04-18,315250,,
2003-04-19,315250,,
2003-04-20,315250,,
2003-04-21,320625,,
2003-04-22,321500,,
2003-04-23,320875,,
2003-04-24,315750,,
2003-04-25,313625,,
2003-04-26,313625,,
2003-04-27,313625,,
2003-04-28,307375,,
2003-04-29,320750,,
2003-04-30,330000,,
2003-05-01,334000,,
2003-05-02,324250,,
2003-05-03,324250,,
2003-05-04,324250,,
2003-05-05,326875,,
2003-05-06,332500,,
2003-05-07,327250,,
2003-05-08,326250,,
2003-05-09,319250,,
2003-05-10,319250,,
2003-05-11,319250,,
2003-05-12,318625,,
2003-05-13,312875,,
2003-05-14,305875,,
2003-05-15,305000,,
2003-05-16,306125,,
2003-05-17,306125,,
2003-05-18,306125,,
2003-05-19,312250,,
2003-05-20,330750,,
2003-05-21,322375,,
2003-05-22,322375,,
2003-05-23,314625,,
2003-05-24,314625,,
2003-05-25,314625,,
2003-05-26,313625,,
2003-05-27,288000,,
2003-05-28,308875,,
2003-05-29,291250,,
2003-05-30,284625,,
2003-05-31,284625,,
2003-06-01,284625,,
2003-06-02,291875,,
2003-06-03,290250,,
2003-06-04,291125,,
2003-06-05,286375,,
2003-06-06,290000,,
2003-06-07,290000,,
2003-06-08,290000,,
2003-06-09,287125,,
2003-06-10,292875,,
2003-06-11,298125,,
2003-06-12,296375,,
2003-06-13,289000,,
2003-06-14,289000,,
2003-06-15,289000,,
2003-06-16,285750,,
2003-06-17,285375,,
2003-06-18,289625,,
2003-06-19,277625,,
2003-06-20,280875,,
2003-06-21,280875,,
2003-06-22,280875,,
2003-06-23,282250,,
2003-06-24,286375,,
2003-06-25,279500,,
2003-06-26,288125,,
2003-06-27,310125,,
2003-06-28,310125,,
2003-06-29,310125,,
2003-06-30,311625,,
2003-07-01,311875,,
2003-07-02,325875,,
2003-07-03,322625,,
2003-07-04,323000,,
2003-07-05,323000,,
2003-07-06,323000,,
2003-07-07,320250,,
2003-07-08,319000,,
2003-07-09,316000,,
2003-07-10,315125,,
2003-07-11,315375,,
2003-07-12,315375,,
2003-07-13,315375,,
2003-07-14,327125,,
