"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.02.2026","977,00","976,00","977,00","976,00","0,01K","0,10%"
"04.02.2026","976,00","973,00","977,00","973,00","0,21K","0,51%"
"03.02.2026","971,00","973,00","973,00","970,00","0,09K","-0,10%"
"02.02.2026","972,00","970,00","973,00","969,00","0,09K","0,00%"
"30.01.2026","972,00","973,00","973,00","968,00","0,28K","0,00%"
"29.01.2026","972,00","972,00","973,00","972,00","0,01K","0,00%"
"28.01.2026","972,00","969,00","972,00","968,00","0,19K","3,18%"
"27.01.2026","942,00","940,00","940,00","940,00","0,01K","0,00%"
"26.01.2026","942,00","943,00","943,00","943,00","0,00K","0,00%"
"23.01.2026","942,00","943,00","944,00","942,00","0,08K","-0,11%"
"22.01.2026","943,00","944,00","944,00","944,00","0,00K","0,21%"
"21.01.2026","941,00","941,00","941,00","941,00","0,03K","0,11%"
"20.01.2026","940,00","943,00","943,00","938,00","0,01K","0,11%"
"16.01.2026","939,00","939,00","939,00","939,00","","0,00%"
"15.01.2026","939,00","936,00","939,00","936,00","0,01K","0,00%"
"14.01.2026","939,00","940,00","942,00","939,00","0,02K","-0,32%"
"13.01.2026","942,00","942,00","942,00","942,00","0,00K","-0,11%"
"12.01.2026","943,00","941,00","945,00","941,00","0,04K","0,32%"
"09.01.2026","940,00","940,00","941,00","940,00","0,67K","0,21%"
"08.01.2026","938,00","938,00","939,00","938,00","0,03K","0,00%"
"07.01.2026","938,00","929,00","940,00","929,00","0,13K","0,86%"
"06.01.2026","930,00","931,00","933,00","928,00","0,09K","-0,32%"
"05.01.2026","933,00","938,00","938,00","932,00","0,08K","-0,74%"
"02.01.2026","940,00","931,00","941,00","931,00","0,03K","0,53%"
"31.12.2025","935,00","936,00","940,00","930,00","0,04K","3,43%"
"30.12.2025","904,00","885,00","912,00","885,00","0,02K","-0,22%"
"29.12.2025","906,00","905,00","905,00","905,00","0,00K","0,00%"
"26.12.2025","906,00","906,00","906,00","906,00","0,01K","0,00%"
"24.12.2025","906,00","906,00","906,00","906,00","0,01K","-0,22%"
"23.12.2025","908,00","909,00","909,00","909,00","0,00K","0,00%"
"22.12.2025","908,00","909,00","909,00","906,00","0,00K","0,11%"
"19.12.2025","907,00","907,00","907,00","907,00","","0,00%"
"18.12.2025","907,00","906,00","906,00","906,00","0,00K","0,00%"
"17.12.2025","907,00","907,00","907,00","907,00","","0,00%"
"16.12.2025","907,00","906,00","906,00","906,00","0,00K","0,00%"
"15.12.2025","907,00","907,00","907,00","907,00","","0,00%"
"12.12.2025","907,00","907,00","907,00","907,00","","0,00%"
"11.12.2025","907,00","905,00","907,00","905,00","0,00K","0,11%"
"10.12.2025","906,00","910,00","910,00","905,00","0,07K","-0,44%"
"09.12.2025","910,00","909,00","910,00","909,00","0,03K","0,22%"
"08.12.2025","908,00","905,00","908,00","905,00","0,04K","0,00%"
"05.12.2025","908,00","908,00","908,00","905,00","0,00K","0,22%"
"04.12.2025","906,00","906,00","906,00","906,00","","0,00%"
"03.12.2025","906,00","903,00","906,00","903,00","0,06K","0,55%"
"02.12.2025","901,00","901,00","901,00","896,00","0,04K","-0,22%"
"01.12.2025","903,00","905,00","905,00","899,00","0,04K","-0,55%"
"28.11.2025","908,00","904,00","904,00","904,00","0,00K","0,44%"
"26.11.2025","904,00","890,00","907,00","890,00","0,07K","5,85%"
"25.11.2025","854,00","858,00","858,00","854,00","0,01K","-0,12%"
"24.11.2025","855,00","858,00","858,00","855,00","0,01K","-0,23%"
"21.11.2025","857,00","858,00","858,00","857,00","0,01K","0,12%"
"20.11.2025","856,00","857,00","857,00","857,00","0,00K","0,12%"
"19.11.2025","855,00","855,00","855,00","855,00","","-0,12%"
