,valor
2024-01-15,358.6449
2024-01-14,358.5907
2024-01-13,358.5365
2024-01-12,358.4822
2024-01-11,358.428
2024-01-10,358.3738
2024-01-09,358.3196
2024-01-08,358.2654
2024-01-07,358.2112
2024-01-06,358.157
2024-01-05,358.1029
2024-01-04,358.0487
2024-01-03,357.9946
2024-01-02,357.9404
2024-01-01,357.8863
2023-12-31,357.8322
2023-12-30,357.778
2023-12-29,357.7239
2023-12-28,357.6698
2023-12-27,357.6157
2023-12-26,357.5616
2023-12-25,357.5075
2023-12-24,357.4535
2023-12-23,357.3994
2023-12-22,357.3454
2023-12-21,357.2913
2023-12-20,357.2373
2023-12-19,357.1832
2023-12-18,357.1292
2023-12-17,357.0752
2023-12-16,357.0212
2023-12-15,356.9672
2023-12-14,356.9375
2023-12-13,356.9078
2023-12-12,356.8781
2023-12-11,356.8484
2023-12-10,356.8187
2023-12-09,356.789
2023-12-08,356.7593
2023-12-07,356.7296
2023-12-06,356.6999
2023-12-05,356.6702
2023-12-04,356.6405
2023-12-03,356.6108
2023-12-02,356.5812
2023-12-01,356.5515
2023-11-30,356.5218
2023-11-29,356.4921
2023-11-28,356.4625
2023-11-27,356.4328
2023-11-26,356.4031
2023-11-25,356.3735
2023-11-24,356.3438
2023-11-23,356.3142
2023-11-22,356.2845
2023-11-21,356.2549
2023-11-20,356.2252
2023-11-19,356.1956
2023-11-18,356.1659
2023-11-17,356.1363
2023-11-16,356.1066
2023-11-15,356.077
2023-11-14,356.0151
2023-11-13,355.9533
2023-11-12,355.8915
2023-11-11,355.8296
2023-11-10,355.7678
2023-11-09,355.706
2023-11-08,355.6442
2023-11-07,355.5825
2023-11-06,355.5207
2023-11-05,355.4589
2023-11-04,355.3972
2023-11-03,355.3354
2023-11-02,355.2737
2023-11-01,355.212
2023-10-31,355.1503
2023-10-30,355.0886
2023-10-29,355.0269
2023-10-28,354.9653
2023-10-27,354.9036
2023-10-26,354.8419
2023-10-25,354.7803
2023-10-24,354.7187
2023-10-23,354.6571
2023-10-22,354.5955
2023-10-21,354.5339
2023-10-20,354.4723
2023-10-19,354.4107
2023-10-18,354.3491
2023-10-17,354.2876
2023-10-16,354.226
2023-10-15,354.1645
2023-10-14,354.0822
2023-10-13,353.9999
2023-10-12,353.9176
2023-10-11,353.8353
2023-10-10,353.753
2023-10-09,353.6708
2023-10-08,353.5885
2023-10-07,353.5063
2023-10-06,353.4241
2023-10-05,353.342
2023-10-04,353.2598
2023-10-03,353.1777
2023-10-02,353.0956
2023-10-01,353.0135
2023-09-30,352.9314
2023-09-29,352.8494
2023-09-28,352.7673
2023-09-27,352.6853
2023-09-26,352.6033
2023-09-25,352.5213
2023-09-24,352.4394
2023-09-23,352.3574
2023-09-22,352.2755
2023-09-21,352.1936
2023-09-20,352.1117
2023-09-19,352.0299
2023-09-18,351.948
2023-09-17,351.8662
2023-09-16,351.7844
2023-09-15,351.7026
2023-09-14,351.646
2023-09-13,351.5894
2023-09-12,351.5329
2023-09-11,351.4763
2023-09-10,351.4198
2023-09-09,351.3632
2023-09-08,351.3067
2023-09-07,351.2502
2023-09-06,351.1937
2023-09-05,351.1372
2023-09-04,351.0807
2023-09-03,351.0242
2023-09-02,350.9677
2023-09-01,350.9113
2023-08-31,350.8548
2023-08-30,350.7984
2023-08-29,350.7419
2023-08-28,350.6855
2023-08-27,350.6291
2023-08-26,350.5727
2023-08-25,350.5163
2023-08-24,350.4599
2023-08-23,350.4035
2023-08-22,350.3471
2023-08-21,350.2908
2023-08-20,350.2344
2023-08-19,350.1781
2023-08-18,350.1218
2023-08-17,350.0654
2023-08-16,350.0091
2023-08-15,349.9528
2023-08-14,349.919
2023-08-13,349.8852
2023-08-12,349.8514
2023-08-11,349.8176
2023-08-10,349.7838
2023-08-09,349.75
2023-08-08,349.7162
2023-08-07,349.6824
2023-08-06,349.6486
2023-08-05,349.6148
2023-08-04,349.581
2023-08-03,349.5473
2023-08-02,349.5135
2023-08-01,349.4797
2023-07-31,349.446
2023-07-30,349.4122
2023-07-29,349.3784
2023-07-28,349.3447
2023-07-27,349.3109
2023-07-26,349.2772
2023-07-25,349.2434
2023-07-24,349.2097
2023-07-23,349.1759
2023-07-22,349.1422
2023-07-21,349.1084
2023-07-20,349.0747
2023-07-19,349.041
2023-07-18,349.0073
2023-07-17,348.9735
2023-07-16,348.9398
2023-07-15,348.9061
2023-07-14,348.8562
2023-07-13,348.8063
2023-07-12,348.7564
2023-07-11,348.7065
2023-07-10,348.6566
2023-07-09,348.6068
2023-07-08,348.5569
2023-07-07,348.5071
2023-07-06,348.4572
2023-07-05,348.4074
2023-07-04,348.3576
2023-07-03,348.3078
2023-07-02,348.2579
2023-07-01,348.2081
2023-06-30,348.1583
2023-06-29,348.1085
2023-06-28,348.0588
2023-06-27,348.009
2023-06-26,347.9592
2023-06-25,347.9094
2023-06-24,347.8597
2023-06-23,347.8099
2023-06-22,347.7602
2023-06-21,347.7105
2023-06-20,347.6607
2023-06-19,347.611
2023-06-18,347.5613
2023-06-17,347.5116
2023-06-16,347.4619
2023-06-15,347.4122
2023-03-15,335.5709
2023-03-14,335.3595
2023-03-13,335.1483
2023-03-12,334.9371
2023-03-11,334.7262
2023-03-10,334.5153
2023-03-09,334.3046
2023-03-08,334.094
2023-03-07,333.8835
2023-03-06,333.6732
2023-03-05,333.463
2023-03-04,333.253
2023-03-03,333.0431
2023-03-02,332.8333
2023-03-01,332.6236
2023-02-28,332.4141
2023-02-27,332.2047
2023-02-26,331.9954
2023-02-25,331.7863
2023-02-24,331.5773
2023-02-23,331.3684
2023-02-22,331.1597
2023-02-21,330.9511
2023-02-20,330.7426
2023-02-19,330.5343
2023-02-18,330.326
2023-02-17,330.118
2023-02-16,329.91
2023-02-15,329.7022
2023-02-14,329.569
2023-02-13,329.4359
2023-02-12,329.3029
2023-02-11,329.1699
2023-02-10,329.037
2023-02-09,328.9041
2023-02-08,328.7713
2023-02-07,328.6385
2023-02-06,328.5058
2023-02-05,328.3731
2023-02-04,328.2405
2023-02-03,328.108
2023-02-02,327.9755
2023-02-01,327.843
2023-01-31,327.7106
2023-01-30,327.5783
2023-01-29,327.446
2023-01-28,327.3138
2023-01-27,327.1816
2023-01-26,327.0495
2023-01-25,326.9174
2023-01-24,326.7854
2023-01-23,326.6534
2023-01-22,326.5215
2023-01-21,326.3896
2023-01-20,326.2578
2023-01-19,326.1261
2023-01-18,325.9944
2023-01-17,325.8627
2023-01-16,325.7311
2023-01-15,325.5996
2023-01-14,325.519
2023-01-13,325.4385
2023-01-12,325.358
2023-01-11,325.2775
2023-01-10,325.197
2023-01-09,325.1165
2023-01-08,325.0361
2023-01-07,324.9557
2023-01-06,324.8753
2023-01-05,324.7949
2023-01-04,324.7145
2023-01-03,324.6342
2023-01-02,324.5539
2023-01-01,324.4736
2022-12-31,324.3933
2022-12-30,324.3131
2022-12-29,324.2328
2022-12-28,324.1526
2022-12-27,324.0724
2022-12-26,323.9922
2022-12-25,323.9121
2022-12-24,323.8319
2022-12-23,323.7518
2022-12-22,323.6717
2022-12-21,323.5917
2022-12-20,323.5116
2022-12-19,323.4316
2022-12-18,323.3515
2022-12-17,323.2715
2022-12-16,323.1916
2022-12-15,323.1116
2022-12-14,323.0343
2022-12-13,322.9571
2022-12-12,322.8798
2022-12-11,322.8026
2022-12-10,322.7255
2022-12-09,322.6483
2022-12-08,322.5711
2022-12-07,322.494
2022-12-06,322.4169
2022-12-05,322.3398
2022-12-04,322.2627
2022-12-03,322.1857
2022-12-02,322.1086
2022-12-01,322.0316
2022-11-30,321.9546
2022-11-29,321.8776
2022-11-28,321.8007
2022-11-27,321.7237
2022-11-26,321.6468
2022-11-25,321.5699
2022-11-24,321.493
2022-11-23,321.4161
2022-11-22,321.3393
2022-11-21,321.2624
2022-11-20,321.1856
2022-11-19,321.1088
2022-11-18,321.032
2022-11-17,320.9553
2022-11-16,320.8785
2022-11-15,320.8018
2022-11-14,320.706
2022-11-13,320.6102
2022-11-12,320.5145
2022-11-11,320.4188
2022-11-10,320.3231
2022-11-09,320.2275
2022-11-08,320.1319
2022-11-07,320.0363
2022-11-06,319.9408
2022-11-05,319.8452
2022-11-04,319.7497
2022-11-03,319.6543
2022-11-02,319.5588
2022-11-01,319.4634
2022-10-31,319.368
2022-10-30,319.2727
2022-10-29,319.1774
2022-10-28,319.0821
2022-10-27,318.9868
2022-10-26,318.8916
2022-10-25,318.7963
2022-10-24,318.7012
2022-10-23,318.606
2022-10-22,318.5109
2022-10-21,318.4158
2022-10-20,318.3207
2022-10-19,318.2257
2022-10-18,318.1307
2022-10-17,318.0357
2022-10-16,317.9407
2022-10-15,317.8458
2022-10-14,317.7383
2022-10-13,317.6308
2022-10-12,317.5234
2022-10-11,317.416
2022-10-10,317.3086
2022-10-09,317.2013
2022-10-08,317.094
2022-10-07,316.9868
2022-10-06,316.8796
2022-10-05,316.7724
2022-10-04,316.6653
2022-10-03,316.5582
2022-10-02,316.4511
2022-10-01,316.3441
2022-09-30,316.2371
2022-09-29,316.1301
2022-09-28,316.0232
2022-09-27,315.9163
2022-09-26,315.8095
2022-09-25,315.7026
2022-09-24,315.5959
2022-09-23,315.4891
2022-09-22,315.3824
2022-09-21,315.2758
2022-09-20,315.1691
2022-09-19,315.0625
2022-09-18,314.956
2022-09-17,314.8494
2022-09-16,314.743
2022-09-15,314.6365
2022-09-14,314.5546
2022-09-13,314.4728
2022-09-12,314.3909
2022-09-11,314.3091
2022-09-10,314.2273
2022-09-09,314.1456
2022-09-08,314.0638
2022-09-07,313.9821
2022-09-06,313.9004
2022-09-05,313.8187
2022-09-04,313.7371
2022-09-03,313.6554
2022-09-02,313.5738
2022-09-01,313.4922
2022-08-31,313.4107
2022-08-30,313.3291
2022-08-29,313.2476
2022-08-28,313.1661
2022-08-27,313.0846
2022-08-26,313.0031
2022-08-25,312.9217
2022-08-24,312.8403
2022-08-23,312.7589
2022-08-22,312.6775
2022-08-21,312.5961
2022-08-20,312.5148
2022-08-19,312.4335
2022-08-18,312.3522
2022-08-17,312.2709
2022-08-16,312.1896
2022-08-15,312.1084
2022-08-14,312.0572
2022-08-13,312.006
2022-08-12,311.9548
2022-08-11,311.9036
2022-08-10,311.8524
2022-08-09,311.8012
2022-08-08,311.7501
2022-08-07,311.6989
2022-08-06,311.6478
2022-08-05,311.5966
2022-08-04,311.5455
2022-08-03,311.4944
2022-08-02,311.4433
2022-08-01,311.3922
2022-07-31,311.3411
2022-07-30,311.29
2022-07-29,311.2389
2022-07-28,311.1878
2022-07-27,311.1368
2022-07-26,311.0857
2022-07-25,311.0347
2022-07-24,310.9836
2022-07-23,310.9326
2022-07-22,310.8816
2022-07-21,310.8306
2022-07-20,310.7796
2022-07-19,310.7286
2022-07-18,310.6776
2022-07-17,310.6266
2022-07-16,310.5757
2022-07-15,310.5247
2022-07-14,310.4381
2022-07-13,310.3516
2022-07-12,310.265
2022-07-11,310.1785
2022-07-10,310.0921
2022-07-09,310.0056
2022-07-08,309.9192
2022-07-07,309.8328
2022-07-06,309.7464
2022-07-05,309.66
2022-07-04,309.5737
2022-07-03,309.4874
2022-07-02,309.4011
2022-07-01,309.3149
2022-06-30,309.2286
2022-06-29,309.1424
2022-06-28,309.0562
2022-06-27,308.9701
2022-06-26,308.8839
2022-06-25,308.7978
2022-06-24,308.7117
2022-06-23,308.6257
2022-06-22,308.5396
2022-06-21,308.4536
2022-06-20,308.3676
2022-06-19,308.2816
2022-06-18,308.1957
2022-06-17,308.1098
2022-06-16,308.0239
2022-06-15,307.938
2022-06-14,307.8146
2022-06-13,307.6913
2022-06-12,307.568
2022-06-11,307.4448
2022-06-10,307.3216
2022-06-09,307.1985
2022-06-08,307.0754
2022-06-07,306.9524
2022-06-06,306.8294
2022-06-05,306.7065
2022-06-04,306.5836
2022-06-03,306.4608
2022-06-02,306.338
2022-06-01,306.2153
2022-05-31,306.0926
2022-05-30,305.9699
2022-05-29,305.8474
2022-05-28,305.7248
2022-05-27,305.6023
2022-05-26,305.4799
2022-05-25,305.3575
2022-05-24,305.2352
2022-05-23,305.1129
2022-05-22,304.9906
2022-05-21,304.8684
2022-05-20,304.7463
2022-05-19,304.6242
2022-05-18,304.5021
2022-05-17,304.3801
2022-05-16,304.2582
2022-05-15,304.1363
2022-05-14,304.0354
2022-05-13,303.9346
2022-05-12,303.8338
2022-05-11,303.733
2022-05-10,303.6323
2022-05-09,303.5316
2022-05-08,303.4309
2022-05-07,303.3303
2022-05-06,303.2297
2022-05-05,303.1292
2022-05-04,303.0286
2022-05-03,302.9282
2022-05-02,302.8277
2022-05-01,302.7273
2022-04-30,302.6269
2022-04-29,302.5265
2022-04-28,302.4262
2022-04-27,302.3259
2022-04-26,302.2256
2022-04-25,302.1254
2022-04-24,302.0252
2022-04-23,301.9251
2022-04-22,301.8249
2022-04-21,301.7249
2022-04-20,301.6248
2022-04-19,301.5248
2022-04-18,301.4248
2022-04-17,301.3248
2022-04-16,301.2249
2022-04-15,301.125
2022-04-14,300.968
2022-04-13,300.8111
2022-04-12,300.6542
2022-04-11,300.4974
2022-04-10,300.3408
2022-04-09,300.1841
2022-04-08,300.0276
2022-04-07,299.8712
2022-04-06,299.7148
2022-04-05,299.5585
2022-04-04,299.4023
2022-04-03,299.2462
2022-04-02,299.0902
2022-04-01,298.9342
2022-03-31,298.7784
2022-03-30,298.6226
2022-03-29,298.4668
2022-03-28,298.3112
2022-03-27,298.1557
2022-03-26,298.0002
2022-03-25,297.8448
2022-03-24,297.6895
2022-03-23,297.5343
2022-03-22,297.3791
2022-03-21,297.2241
2022-03-20,297.0691
2022-03-19,296.9142
2022-03-18,296.7594
2022-03-17,296.6046
2022-03-16,296.45
2022-03-15,296.2954
2022-03-14,296.1201
2022-03-13,295.945
2022-03-12,295.77
2022-03-11,295.5951
2022-03-10,295.4204
2022-03-09,295.2457
2022-03-08,295.0711
2022-03-07,294.8966
2022-03-06,294.7222
2022-03-05,294.5479
2022-03-04,294.3738
2022-03-03,294.1997
2022-03-02,294.0257
2022-03-01,293.8519
2022-02-28,293.6781
2022-02-27,293.5044
2022-02-26,293.3309
2022-02-25,293.1574
2022-02-24,292.9841
2022-02-23,292.8108
2022-02-22,292.6377
2022-02-21,292.4646
2022-02-20,292.2917
2022-02-19,292.1188
2022-02-18,291.9461
2022-02-17,291.7735
2022-02-16,291.6009
2022-02-15,291.4285
2022-02-14,291.3601
2022-02-13,291.2918
2022-02-12,291.2235
2022-02-11,291.1551
2022-02-10,291.0868
2022-02-09,291.0185
2022-02-08,290.9503
2022-02-07,290.882
2022-02-06,290.8138
2022-02-05,290.7455
2022-02-04,290.6773
2022-02-03,290.6091
2022-02-02,290.541
2022-02-01,290.4728
2022-01-31,290.4047
2022-01-30,290.3365
2022-01-29,290.2684
2022-01-28,290.2003
2022-01-27,290.1322
2022-01-26,290.0642
2022-01-25,289.9961
2022-01-24,289.9281
2022-01-23,289.8601
2022-01-22,289.7921
2022-01-21,289.7241
2022-01-20,289.6561
2022-01-19,289.5882
2022-01-18,289.5202
2022-01-17,289.4523
2022-01-16,289.3844
2022-01-15,289.3165
2022-01-14,289.2699
2022-01-13,289.2234
2022-01-12,289.1769
2022-01-11,289.1304
2022-01-10,289.0838
2022-01-09,289.0373
2022-01-08,288.9908
2022-01-07,288.9443
2022-01-06,288.8979
2022-01-05,288.8514
2022-01-04,288.8049
2022-01-03,288.7585
2022-01-02,288.712
2022-01-01,288.6656
2021-12-31,288.6191
2021-12-30,288.5727
2021-12-29,288.5263
2021-12-28,288.4798
2021-12-27,288.4334
2021-12-26,288.387
2021-12-25,288.3406
2021-12-24,288.2942
2021-12-23,288.2479
2021-12-22,288.2015
2021-12-21,288.1551
2021-12-20,288.1088
2021-12-19,288.0624
2021-12-18,288.0161
2021-12-17,287.9697
2021-12-16,287.9234
2021-12-15,287.8771
2021-12-14,287.8761
2021-12-13,287.8752
2021-12-12,287.8742
2021-12-11,287.8732
2021-12-10,287.8723
2021-12-09,287.8713
2021-12-08,287.8704
2021-12-07,287.8694
2021-12-06,287.8684
2021-12-05,287.8675
2021-12-04,287.8665
